post_id,title,category,score,num_comments,author,collected_at,engagement,is_popular
47633676,"Extra usage credit for Pro, Max, and Team plans",sports,64,61,angst,2026-04-07 08:45:35,0.9384615384615385,False
47641615,Sopwith – 1984 Game (2000),sports,97,42,elvis70,2026-04-07 08:46:03,0.42857142857142855,False
47662682,Tattoo ink induces inflammation and alters the immune response to vaccination,sports,13,0,ryan_j_naughton,2026-04-07 08:46:19,0.0,False
47665207,SOM: A minimal Smalltalk for teaching of and research on Virtual Machines,science,32,0,tosh,2026-04-07 08:51:18,0.0,False
47656303,Case study: recovery of a corrupted 12 TB multi-device pool,science,116,64,salt4034,2026-04-07 08:51:51,0.5470085470085471,False
47650502,Computational Physics (2nd Edition) (2025),science,176,21,teleforce,2026-04-07 08:51:57,0.11864406779661017,False
47648404,My Google Workspace account suspension,science,364,215,zenincognito,2026-04-07 08:53:14,0.589041095890411,True
47629485,A case study in testing with 100+ Claude agents in parallel,science,65,52,thejash,2026-04-07 08:53:54,0.7878787878787878,False
47663650,NASA's Artemis II Crew Flies Around the Moon (Official Broadcast) [video],science,6,1,gwbas1c,2026-04-07 08:55:06,0.14285714285714285,False
47611993,VR Realizes the Cyberspace Metaphor,science,17,17,dryadin,2026-04-07 08:55:33,0.9444444444444444,False
47604155,SpaceX files to go public,science,398,578,nutjob2,2026-04-07 08:56:07,1.4486215538847118,True
47607394,SolveSpace (open source 2D/3D CAD) working on Windows 2000 (2025),science,40,6,ruevs,2026-04-07 08:58:35,0.14634146341463414,False
47666024,Show HN: Ghost Pepper – Local hold-to-talk speech-to-text for macOS,entertainment,260,121,MattHart88,2026-04-07 09:00:32,0.46360153256704983,True
47660853,Book review: There Is No Antimemetics Division,entertainment,213,158,ibobev,2026-04-07 09:00:48,0.7383177570093458,False
47636579,Show HN: Anos – a hand-written ~100KiB microkernel for x86-64 and RISC-V,entertainment,30,6,noone_youknow,2026-04-07 09:00:49,0.1935483870967742,False
47637828,Show HN: Tusk for macOS and Gnome,entertainment,54,16,factorialboy,2026-04-07 09:00:52,0.2909090909090909,False
47665685,Show HN: TTF-DOOM – A raycaster running inside TrueType font hinting,entertainment,30,4,4RH1T3CT0R,2026-04-07 09:00:58,0.12903225806451613,False
47662429,Show HN: Weird Clocks,entertainment,27,12,vunderba,2026-04-07 09:01:18,0.42857142857142855,False
47637206,Show HN: Docking – Extensible Linux dock in Python,entertainment,23,5,edumucelli,2026-04-07 09:01:23,0.20833333333333334,False
47655392,Show HN: I made a YouTube search form with advanced filters,entertainment,307,195,nevernothing,2026-04-07 09:01:31,0.6331168831168831,True
47655268,"Show HN: Modo – I built an open-source alternative to Kiro, Cursor, and Windsurf",entertainment,95,19,mohshomis,2026-04-07 09:01:44,0.19791666666666666,False
47665630,Show HN: Meta-agent: self-improving agent harnesses from live traces,entertainment,7,0,essamsleiman,2026-04-07 09:01:53,0.0,False
47652322,Music for Programming,entertainment,335,169,merusame,2026-04-07 09:01:58,0.5029761904761905,True
47658617,Show HN: I just built a MCP Server that connects Claude to all your wearables,entertainment,16,12,anton_salcher,2026-04-07 09:02:02,0.7058823529411765,False
47662313,Show HN: ReverseCam – See yourself as others see you,entertainment,8,1,ilamparithi,2026-04-07 09:02:09,0.1111111111111111,False
47646504,Show HN: OsintRadar – Curated directory for osint tools,entertainment,81,9,lexalizer,2026-04-07 09:02:23,0.10975609756097561,False
47642601,Show HN: M. C. Escher spiral in WebGL inspired by 3Blue1Brown,entertainment,172,28,laszlokorte,2026-04-07 09:02:27,0.16184971098265896,False
47645025,Show HN: Contrapunk – Real-time counterpoint harmony from guitar input,entertainment,116,54,waveywaves,2026-04-07 09:02:41,0.46153846153846156,False
47659363,"Show HN: I replaced Google Analytics with my own tool – no cookies, <1KB script",entertainment,12,9,VictorChanet,2026-04-07 09:02:46,0.6923076923076923,False
47613118,Show HN: I built a small app for FSI German Course,entertainment,53,15,syedmsawaid,2026-04-07 09:03:07,0.2777777777777778,False
47625952,Show HN: I built a frontpage for personal blogs,entertainment,777,194,ramkarthikk,2026-04-07 09:03:14,0.2493573264781491,True
47639303,"Show HN: I made open source, zero power PCB hackathon badges",entertainment,157,18,kaipereira,2026-04-07 09:03:51,0.11392405063291139,False
47639567,Show HN: TurboQuant-WASM – Google's vector quantization in the browser,entertainment,164,6,teamchong,2026-04-07 09:04:32,0.03636363636363636,False
47656608,Show HN: Multi-agent coding assistant with a sandboxed Rust execution engine,entertainment,10,2,chrismeurer,2026-04-07 09:04:41,0.18181818181818182,False
47633947,The FAA’s flight restriction for drones is an attempt to criminalize filming ICE,entertainment,551,181,detaro,2026-04-07 09:04:47,0.3278985507246377,True
47656093,Show HN: jsoncompat – a library to detect/fuzz breaking changes in JSON schemas,entertainment,7,1,rogaos,2026-04-07 09:05:00,0.125,False
47606560,"Show HN: Dull – Instagram Without Reels, YouTube Without Shorts (iOS)",entertainment,152,121,kasparnoor,2026-04-07 09:05:21,0.7908496732026143,False
